,,,,,Personnes déplacées internes,,,,,Personnes retournées de RCA (Ex-PDI),,,,,Personnes retournées en provenance d'autre pays,,,,,source d'information (Nbre),Qualité de la données,,,
_ADM1_NAME,_ADM2_NAME,_ADM3_NAME,_V_CODE,_Village,idps,hh_idp,ind_idp,abris_pdi_site,abris_pdi_hors_site,retournes,hh_ret_rca,ind_ret_rca,abris_ret_site,abris_ret_hors_site,retournes_etrangers,hh_ret_oth,ind_ret_oth,abris_reto_site,abris_reto_hors_site,Nbre_Informateurs_cles,coherence_informateurs,coherence_observation,existence_preuves,perception_enumerateur
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_SAR_0000,SARA,non,0,0,0,0,oui,30,157,0,30,oui,15,70,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_ROU_0000,ROUNGA,oui,75,374,0,75,oui,4,23,0,4,oui,14,65,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_LEM_0001,LEMANA 1,oui,41,140,0,41,oui,29,90,0,29,oui,13,40,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_SUL_0002,SULTAN 3,oui,60,300,0,60,oui,7,40,0,7,oui,9,55,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_SUL_0000,SULTAN 2,oui,3,13,0,3,oui,21,111,0,21,oui,12,66,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_TYP_0000,TYPOYEUR,oui,24,101,0,24,oui,10,60,0,10,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_YAN_0000,YANGOUGALE,oui,80,333,0,80,non,0,0,0,0,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_ZOU_0001,ZOUKOUTOUNIALA 1,oui,8,40,0,8,oui,3,18,0,3,oui,7,40,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_ZOU_0002,ZOUKOUTOUNIALA 2,non,0,0,0,0,oui,4,20,0,4,oui,9,42,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Mbolo-Pata,CF5112_KIB_0000,KIBITTI,oui,16,109,0,16,oui,8,37,0,8,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Mbolo-Pata,CF5112_MBO_0001,MBOLLO 1,oui,6,28,0,6,non,0,0,0,0,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Mbolo-Pata,CF5112_MBO_0002,MBOLLO 2,oui,6,20,0,6,oui,12,61,0,12,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Mbolo-Pata,CF5112_VON_0000,VONGBA,oui,7,22,0,7,oui,17,75,0,17,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Mbolo-Pata,CF5112_YAN_0001,YANGOU BRINDI 1,oui,12,68,0,12,non,0,0,0,0,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Mbolo-Pata,CF5112_YAN_0002,YANGOU BRINDI 2,oui,59,229,0,59,oui,1,1,0,1,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_BEA_0000,BEA-REX,non,0,0,0,0,oui,20,100,0,20,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_BOU_0000,BOULATA,oui,336,1680,0,336,oui,60,300,0,60,oui,170,850,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_CAM_0000,CAMEROUNAIS DOUALA,oui,422,2110,0,422,oui,216,1080,0,216,oui,220,1100,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_CAM_0001,CAMEROUNAIS NORD,oui,32,160,0,32,oui,298,1510,0,298,oui,270,1350,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_CAM_0002,CAMEROUNAIS YAOUNDE,oui,608,3040,0,608,oui,109,545,0,109,oui,292,1460,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_CAS_0000,CASTORS,oui,4,20,0,4,non,0,0,0,0,oui,40,200,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_FAT_0000,FATIMA 2,oui,29,145,0,29,oui,140,700,0,140,oui,26,130,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_FON_0000,FONDO,oui,300,1500,0,300,oui,280,1400,0,280,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_FOU_0000,FOULBE,oui,170,850,0,170,oui,70,350,0,70,oui,80,400,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_DOM_0000,GBAYA DOMBIA 1,oui,272,1360,0,272,oui,287,1295,0,287,oui,433,2165,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_GBA_0002,GBAYA DOMBIA 2,oui,700,3500,0,700,oui,90,450,0,90,oui,180,900,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_GBA_0001,GBAYA KM5,oui,80,400,0,80,oui,160,800,0,160,oui,200,1000,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_ISS_0000,ISSONGO,oui,960,4800,0,960,oui,270,1350,0,270,oui,240,1200,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_KOK_0003,KOKOLO 2,non,0,0,0,0,oui,5,25,0,5,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_KOK_0000,KOKOLO 3,oui,24,120,0,24,oui,372,2160,0,372,oui,58,290,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_KOK_0002,KOKOLO 4,oui,26,130,0,26,oui,66,330,0,66,oui,12,60,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_KOK_0004,KOKOLO 5,oui,40,200,0,40,oui,110,550,0,110,oui,36,180,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_KOK_0001,KOKOLO1,oui,16,80,0,16,non,0,0,0,0,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_OUH_0000,OUHAM2 GUIDA,oui,682,3410,0,682,non,0,0,0,0,oui,36,180,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_RAM_0000,RAMANDJI,oui,274,1370,0,274,oui,130,650,0,130,oui,64,320,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_SAM_0000,SAMBO,oui,260,1300,0,260,oui,106,530,0,106,oui,74,370,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_SAN_0000,SANGA BIBALE,oui,512,2560,0,512,oui,140,700,0,140,oui,150,750,0,,3,oui_majorite,oui_majorite,en_partie,moyen
