PName1,PName2,PName3,PName4,RowcaCode4,DESCRIPTIO,CNTRY_NAME,ADM1_NAME,ADM2_NAME,ADM3_NAME,RowcaCode1,RowcaCode2,RowcaCode3
Bouba, ,0,0,CAF0430040020021,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bouda, ,0,0,CAF0430040020022,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Boumbala,Bombala 1,0,0,CAF0430040020023,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bounga, ,0,0,CAF0430040020024,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Boungba 1, ,0,0,CAF0430040020025,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Boungba 2, ,0,0,CAF0430040020026,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bouroumou, ,0,0,CAF0430040020027,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bouyidou, ,0,0,CAF0430040020028,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Brola 2, ,0,0,CAF0430040020029,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Dala, ,0,0,CAF0430040020030,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Danga, ,0,0,CAF0430040020031,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Dekongo, ,0,0,CAF0430040020032,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Dourougou, ,0,0,CAF0430040020033,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Gbada, ,0,0,CAF0430040020034,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Gbada 3, ,0,0,CAF0430040020035,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Gbama, ,0,0,CAF0430040020036,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Gboloba, ,0,0,CAF0430040020037,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Gondo-Bangba, ,0,0,CAF0430040020038,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Gouala-Ekao, ,0,0,CAF0430040020039,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Gouasse,Gouasse,0,0,CAF0430040020040,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Gouasse-Yao, ,0,0,CAF0430040020041,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Goussiema, ,0,0,CAF0430040020042,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Guiana-Goula, ,0,0,CAF0430040020043,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Guigui, ,0,0,CAF0430040020044,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Guindihou, ,0,0,CAF0430040020045,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Guindihou, ,0,0,CAF0430040020046,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Guindihou 3, ,0,0,CAF0430040020047,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Guindikou, ,0,0,CAF0430040020048,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Hougou, ,0,0,CAF0430040020049,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Kandja, ,0,0,CAF0430040020050,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Kandjia 2, ,0,0,CAF0430040020051,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Kodjo, ,0,0,CAF0430040020052,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Kodjo 2, ,0,0,CAF0430040020053,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Kolongo, ,0,0,CAF0430040020054,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Kpanga, ,0,0,CAF0430040020055,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Laho, ,0,0,CAF0430040020056,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Lappy, ,0,0,CAF0430040020057,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Lihoto,Lioto 1,0,0,CAF0430040020058,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Lioto 2, ,0,0,CAF0430040020059,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Lioto 3, ,0,0,CAF0430040020060,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Lioto 4, ,0,0,CAF0430040020061,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Lioto 5, ,0,0,CAF0430040020062,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Lioua, ,0,0,CAF0430040020063,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Maliamba, ,0,0,CAF0430040020064,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Mbadourou, ,0,0,CAF0430040020065,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Mbadourou Bouasse, ,0,0,CAF0430040020066,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Mbalango 1, ,0,0,CAF0430040020067,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Mbalango 2, ,0,0,CAF0430040020068,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Mbata 1, ,0,0,CAF0430040020069,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Mbata 2, ,0,0,CAF0430040020070,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Mbema, ,0,0,CAF0430040020071,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Mbourou, ,0,0,CAF0430040020072,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Mono 2, ,0,0,CAF0430040020073,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Mono-Ekao, ,0,0,CAF0430040020074,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Mono-Pamoto, ,0,0,CAF0430040020075,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
