"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var41","secal_1_sucre","NA","NA","NA",4.00835415372114,NA,NA,NA,"admin_0","RCA"
"140","secal_2_sucre",NA,"achats",NA,0.951561711844069,NA,NA,NA,"admin_0","RCA"
"240","secal_2_sucre",NA,"aides_alim",NA,0.00584046297842561,NA,NA,NA,"admin_0","RCA"
"336","secal_2_sucre",NA,"chasse",NA,0.00333447757305785,NA,NA,NA,"admin_0","RCA"
"425","secal_2_sucre",NA,"dons_perso",NA,0.0112051204933386,NA,NA,NA,"admin_0","RCA"
"525","secal_2_sucre",NA,"emprunt",NA,0.0113793555603895,NA,NA,NA,"admin_0","RCA"
"622","secal_2_sucre",NA,"propre_prod",NA,0.0146867587650059,NA,NA,NA,"admin_0","RCA"
"713","secal_2_sucre",NA,"troc",NA,0.00199211278571329,NA,NA,NA,"admin_0","RCA"
"dependent.var42","secal_1_epices","NA","NA","NA",4.79320304472049,NA,NA,NA,"admin_0","RCA"
"141","secal_2_epices",NA,"achats",NA,0.930717196014153,NA,NA,NA,"admin_0","RCA"
"241","secal_2_epices",NA,"aides_alim",NA,0.00425385340393948,NA,NA,NA,"admin_0","RCA"
"337","secal_2_epices",NA,"chasse",NA,0.0034847738932788,NA,NA,NA,"admin_0","RCA"
"426","secal_2_epices",NA,"dons_perso",NA,0.0147016089225359,NA,NA,NA,"admin_0","RCA"
"526","secal_2_epices",NA,"emprunt",NA,0.00712966074659179,NA,NA,NA,"admin_0","RCA"
"623","secal_2_epices",NA,"propre_prod",NA,0.0372288232212908,NA,NA,NA,"admin_0","RCA"
"714","secal_2_epices",NA,"troc",NA,0.00248408379821003,NA,NA,NA,"admin_0","RCA"
"142","secal_3_hhs",NA,"non",NA,0.187485990604528,NA,NA,NA,"admin_0","RCA"
"242","secal_3_hhs",NA,"nsp",NA,0.00393089996906942,NA,NA,NA,"admin_0","RCA"
"338","secal_3_hhs",NA,"oui",NA,0.808583109426402,NA,NA,NA,"admin_0","RCA"
"143","secal_3_hhs_nb",NA,"parfois",NA,0.413832932951889,NA,NA,NA,"admin_0","RCA"
"243","secal_3_hhs_nb",NA,"rarement",NA,0.522010124256527,NA,NA,NA,"admin_0","RCA"
"339","secal_3_hhs_nb",NA,"souvent",NA,0.0641569427915841,NA,NA,NA,"admin_0","RCA"
"144","secal_4_hhs",NA,"non",NA,0.189463786986621,NA,NA,NA,"admin_0","RCA"
"244","secal_4_hhs",NA,"nsp",NA,0.00569844742635157,NA,NA,NA,"admin_0","RCA"
"340","secal_4_hhs",NA,"oui",NA,0.804837765587027,NA,NA,NA,"admin_0","RCA"
"145","secal_4_hhs_nb",NA,"parfois",NA,0.419814404354553,NA,NA,NA,"admin_0","RCA"
"245","secal_4_hhs_nb",NA,"rarement",NA,0.509627457196327,NA,NA,NA,"admin_0","RCA"
"341","secal_4_hhs_nb",NA,"souvent",NA,0.0705581384491206,NA,NA,NA,"admin_0","RCA"
"146","secal_5_hhs",NA,"non",NA,0.251477019173938,NA,NA,NA,"admin_0","RCA"
"246","secal_5_hhs",NA,"nsp",NA,0.00666327515938491,NA,NA,NA,"admin_0","RCA"
"342","secal_5_hhs",NA,"oui",NA,0.741859705666677,NA,NA,NA,"admin_0","RCA"
"147","secal_5_hhs_nb",NA,"parfois",NA,0.358366257380713,NA,NA,NA,"admin_0","RCA"
"247","secal_5_hhs_nb",NA,"rarement",NA,0.56891018808746,NA,NA,NA,"admin_0","RCA"
"343","secal_5_hhs_nb",NA,"souvent",NA,0.0727235545318271,NA,NA,NA,"admin_0","RCA"
"148","secal_6_agric",NA,"non",NA,0.378538671964033,NA,NA,NA,"admin_0","RCA"
"248","secal_6_agric",NA,"nsp",NA,0.012143786403512,NA,NA,NA,"admin_0","RCA"
"344","secal_6_agric",NA,"oui",NA,0.609317541632455,NA,NA,NA,"admin_0","RCA"
"149","secal_6_agric_raisons_1",NA,"autre",NA,0.0580134966016972,NA,NA,NA,"admin_0","RCA"
"249","secal_6_agric_raisons_1",NA,"autre_activite",NA,0.0379863563833319,NA,NA,NA,"admin_0","RCA"
"345","secal_6_agric_raisons_1",NA,"inondation",NA,0.00327092907448386,NA,NA,NA,"admin_0","RCA"
"427","secal_6_agric_raisons_1",NA,"insecurite",NA,0.127987136011058,NA,NA,NA,"admin_0","RCA"
