"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"141","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_mssc","deplaces_site",0.28542776584471,NA,NA,NA,"admin_0","RCA"
"15","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_ah","deplaces_FA",0.169651104509239,NA,NA,NA,"admin_0","RCA"
"16","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_ah","deplaces_site",0.186324539604368,NA,NA,NA,"admin_0","RCA"
"17","ig_14_idp_cond_retour","ig_8_statut_groupe","autre","deplaces_FA",0.0400782671165586,NA,NA,NA,"admin_0","RCA"
"18","ig_14_idp_cond_retour","ig_8_statut_groupe","autre","deplaces_site",0.023035203946299,NA,NA,NA,"admin_0","RCA"
"19","ig_14_idp_cond_retour","ig_8_statut_groupe","nsp","deplaces_FA",0.0185699605930432,NA,NA,NA,"admin_0","RCA"
"20","ig_14_idp_cond_retour","ig_8_statut_groupe","nsp","deplaces_site",0.00029011491451764,NA,NA,NA,"admin_0","RCA"
"130","ig_16_ret_rapat_dest_finale_oui_non","ig_8_statut_groupe","abri_origine","retournes",0.701524583786542,NA,NA,NA,"admin_0","RCA"
"214","ig_16_ret_rapat_dest_finale_oui_non","ig_8_statut_groupe","autre","retournes",0.0374527048414795,NA,NA,NA,"admin_0","RCA"
"314","ig_16_ret_rapat_dest_finale_oui_non","ig_8_statut_groupe","commune_origine","retournes",0.261022711371978,NA,NA,NA,"admin_0","RCA"
"132","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","abri_detruit","retournes",0.716026440280018,NA,NA,NA,"admin_0","RCA"
"215","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","abri_occupe_etat","retournes",0.0652460301432956,NA,NA,NA,"admin_0","RCA"
"315","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","abri_occupe_tiers","retournes",0.157601638501847,NA,NA,NA,"admin_0","RCA"
"414","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","abri_tropcher","retournes",0.00795110921991943,NA,NA,NA,"admin_0","RCA"
"514","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","autre","retournes",0.0123065645378126,NA,NA,NA,"admin_0","RCA"
"614","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","insecurite","retournes",0.0124516612407825,NA,NA,NA,"admin_0","RCA"
"714","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","nsp","retournes",0.00829184943619827,NA,NA,NA,"admin_0","RCA"
"814","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","perte_doc","retournes",0.0090030652419135,NA,NA,NA,"admin_0","RCA"
"912","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","perte_du_proprietaire","retournes",0.0111216413982126,NA,NA,NA,"admin_0","RCA"
"133","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","abri_detruit","retournes",0.354478099669805,NA,NA,NA,"admin_0","RCA"
"216","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","abri_occupe_tiers","retournes",0.0124130315953243,NA,NA,NA,"admin_0","RCA"
