VillageAll,GPS.point,admin1Name,admin1Pcod,admin2,admin2Pcod,admin3Name,admin3Pcod,TotalPop_fixe
BAMBITO,"26.4946389999999,5.403851",Haut-Mbomou,,Obo,,Obo,,655
Boyo,"26.4946389999999,5.403851",Haut-Mbomou,,Obo,,Obo,,870
Gambo,"26.4946389999999,5.403851",Haut-Mbomou,,Obo,,Obo,,563
Gougbere,"26.4946389999999,5.403851",Haut-Mbomou,,Obo,,Obo,,2205
MOTOPI,"26.4946389999999,5.403851",Haut-Mbomou,,Obo,,Obo,,833
NAKPANGA,"26.4946389999999,5.403851",Haut-Mbomou,,Obo,,Obo,,1274
Nguilinguili,"26.4946389999999,5.403851",Haut-Mbomou,,Obo,,Obo,,455
Gendarmerie,"25.1294229999999,5.024257",Haut-Mbomou,,Zémio,,Zemio,,2161
ARGUE,"25.1294229999999,5.024257",Haut-Mbomou,,Zémio,,Zémio,,3821
YOUGOU,"22.822237,4.740092",Mbomou,,Bangassou,,Bangassou,,1530
AIM,"23.933396,4.969394",Mbomou,,Rafai,,Rafaï,,1265
BINGBA 3,"23.933396,4.969394",Mbomou,,Rafai,,Rafaï,,3466
SANDOU,"23.933396,4.969394",Mbomou,,Rafai,,Rafaï,,2830
KOKOROTA,"19.1915429999999,6.990379",Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,12442
LAZARE,"19.1915429999999,6.990379",Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,7795
MBELLA,"19.1915429999999,6.990379",Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,1012
Minusca,"19.1915429999999,6.990379",Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,12621
CAMP ELEVAGE,"20.654183,5.764845",Ouaka,,Bambari,,Bambari,,9009
DECAMPS,"20.654183,5.764845",Ouaka,,Bambari,,Bambari,,4350
KIDJIGRA 1,"20.654183,5.764845",Ouaka,,Bambari,,Bambari,,2948
MINUSCA PK 8,"20.654183,5.764845",Ouaka,,Bambari,,Bambari,,2009
Site alternatif (Misca),"20.654183,5.764845",Ouaka,,Bambari,,Bambari,,3784
MALOUM 1,"21.162894,5.933953",Ouaka,,Bambari,,Danga-Gboudou,,8330
AVIATION,"20.657,5.803",Ouaka,,Bambari,,Pladama-Ouaka,,4957
NGALINGOU,"20.632612,5.815401",Ouaka,,Bambari,,Pladama-Ouaka,,2477
PLADAMA,"0,0",Ouaka,,Bambari,,Pladama-Ouaka,,511
SAINT JOSEPH,"20.654183,5.764845",Ouaka,,Bambari,,Bambari,,101
 konvi 1,"18.8478059999999,7.250732",Ouham,,Batangafo,,Axe Batangafo-Ouandago-Kabo,,219
Maison des jeunes,"18.285135,7.300987",Ouham,,Batangafo,,Batangafo,,3658
Zibo Bagga,"18.285135,7.300987",Ouham,,Batangafo,,Batangafo,,2002
Dihiri 2,"18.308,7.311",Ouham,,Batangafo,,Batangafo,,98
Ndoubou,"18.3209,7.3141",Ouham,,Batangafo,,Ouassi,,174
Kawa,"18.478824,6.807425",Ouham,,Bouca,, Bouca Maraze,,250
Gbakaya,"18.308738,6.874992",Ouham,,Bouca,,Lady Gbawi,,1265
Lady B,"18.347196,7.036628",Ouham,,Bouca,,Lady Gbawi,,303
Farazala B,"18.74324,7.38043",Ouham,,Kabo,,Kabo,,21
site C (cite de la paix),"18.626926,7.695467",Ouham,,Kabo,,Sido,,2640
 Niango 1,"20.189118,7.584989",Bamingui-Bangoran,CF51,Bamingui,CF512,Vassako,CF5121,595.340896
 Badja 1,"21.481846,4.425552",Basse-Kotto,CF61,Kembé,CF613,Mboui,CF6132,505.922183
 Dinda,"21.4269859999999,4.532509",Basse-Kotto,CF61,Kembé,CF613,Mboui,CF6132,347.440535
 Batali,"17.2319339999999,4.176354",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,666.945044
 Samandoro,"17.400528,4.284795",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,618.144187
 Unknown 20,"17.518611,4.318194",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,333.472522
 Bekagbassem,"17.1223199999999,4.99837",Lobaye,CF12,Boganangone,CF124,Boganangone,CF1241,365.485368
 Belou 2,"18.0808539999999,3.792038",Lobaye,CF12,Mbaiki,CF121,Mbata,CF1212,422.811693
 Boumou,"18.2731579999999,4.262177",Lobaye,CF12,Mbaiki,CF121,Pissa,CF1213,548.510078
 Bogongo 2,"15.0106369999999,4.779475",Mambéré-Kadéi,CF21,Amada-Gaza,CF214,Haute-Boumbé,CF2141,372.962694
 Boyapele,"15.038365,4.775664",Mambéré-Kadéi,CF21,Amada-Gaza,CF214,Haute-Boumbé,CF2141,504.190309
 Degbe-Maina,"16.014899,4.966469",Mambéré-Kadéi,CF21,Carnot,CF213,Carnot,CF2131,274.559295
 Pangoulo,"17.05356,4.355939",Mambéré-Kadéi,CF21,Gadzi,CF217,Topia,CF2171,309.782783
 Nabeli-Pondo,"14.922704,4.568141",Mambéré-Kadéi,CF21,Gamboula,CF212,Basse-Boumné,CF2121,263.619387
 Ouloukombe,"15.533102,3.884906",Mambéré-Kadéi,CF21,Sosso-Nakombo,CF215,Basse-Kadéi,CF2151,316.29258
 Kitika,"23.100614,5.176225",Mbomou,CF62,Bakouma,CF625,Bakouma,CF6251,364.053766
 Madigui,"22.84198,5.681352",Mbomou,CF62,Bakouma,CF625,Bakouma,CF6251,806.519111
 Bozou,"19.865676,6.824671",Nana-Gribizi,CF42,Mbrès,CF422,Mbrés,CF4221,324.291342
 Wanou,"15.824293,5.128629",Nana-Mambéré,CF22,Baoro,CF222,Yoro-Samba Bougoulou,CF2222,277.325353
 Sebokele 3,"18.382694,4.1794",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,384.479636
 Didango,"18.0046,4.714381",Ombella M'Poko,CF11,Boali,CF114,Boali,CF1141,262.070062
 Bogbaloko,"17.696224,5.23129",Ombella M'Poko,CF11,Bossembélé,CF115,Bossembélé,CF1151,444.758499
 Bondio 2,"17.626652,5.439089",Ombella M'Poko,CF11,Bossembélé,CF115,Bossembélé,CF1151,324.146025
 Bossogbien 1,"17.610596,5.647876",Ombella M'Poko,CF11,Bossembélé,CF115,Bossembélé,CF1151,346.760864
 Bongbara,"16.988772,5.381371",Ombella M'Poko,CF11,Yaloké,CF116,Guézéli,CF1162,524.942781
 Mindoukota,"20.007204,5.753002",Ouaka,CF43,Grimari,CF433,Grimari,CF4331,250.02722
 Domo,"21.1471139999999,6.155616",Ouaka,CF43,Ippy,CF435,Baidou-Ngoumbourou,CF4353,331.808263
 Kindigo,"21.1705639999999,6.367417",Ouaka,CF43,Ippy,CF435,Ippy,CF4351,344.840754
 Bodigui,"17.2088539999999,6.458617",Ouham,CF32,Bossangoa,CF321,Ouham Bac,CF3215,318.993503
 Koya,"15.7284869999999,6.878783",Ouham Pendé,CF31,Bocaranga,CF312,Péndé,CF3123,280.970222
NZAPA A HON YORO,"15.6589329999999,6.939271",Ouham Pendé,CF31,Bocaranga,CF312,Bocaranga,CF3121,167.18758
GBANDENGUE,"16.381675,6.233071",Ouham Pendé,CF31,Bossemtélé,CF316,Binon,CF3161,173.505874
 Hay,"16.234044,6.323566",Ouham Pendé,CF31,Bozoum,CF311,Danayéré,CF3115,258.45444
 Unknown 58,"16.4093009999999,6.370958",Ouham Pendé,CF31,Bozoum,CF311,Dan-Gbabiri,CF3112,663.414063
MID-MISSION,"16.3715009999999,6.317324",Ouham Pendé,CF31,Bozoum,CF311,Bozoum,CF3111,585
TABALE,"16.383807,6.307287",Ouham Pendé,CF31,Bozoum,CF311,Bozoum,CF3111,57.350587
ZAZA,"16.3841949999999,6.313351",Ouham Pendé,CF31,Bozoum,CF311,Bozoum,CF3111,163
 Arabe,"17.4402019999999,6.078201",Ouham,CF32,Bossangoa,CF321,Koro-M'poko,CF3213,801.341188
 Bedobo,"16.9585919999999,6.844022",Ouham,CF32,Bossangoa,CF321,Ndoro Mboli,CF3216,1029.776342
 Botengue,"17.6741519999999,6.636675",Ouham,CF32,Bossangoa,CF321,Ben Zambé,CF3214,546.472586
 Gbehinni,"16.7978659999999,6.717327",Ouham,CF32,Bossangoa,CF321,Ndoro Mboli,CF3216,1106.07748
 Gbele Kota,"17.4423379999999,6.18976",Ouham,CF32,Bossangoa,CF321,Koro-M'poko,CF3213,301.256086
 Gpt Gbakora,"17.589022,6.853605",Ouham,CF32,Bossangoa,CF321,Ben Zambé,CF3214,1023.394116
