VillageAll,GPS.point,admin1Name,admin1Pcod,admin2,admin2Pcod,admin3Name,admin3Pcod,TotalPop_fixe
 Ndia,"18.54149,4.292519",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,453.34166
 Ndiba,"19.68624,6.657368",Nana-Gribizi,CF42,Mbrès,CF422,Mbrés,CF4221,1367.663486
 Ndimba 1,"18.45618,7.47513",Ouham,CF32,Kabo,CF327,Ouaki,CF3272,386.579224
 Ndjangala,"19.8180979999999,5.754308",Ouaka,CF43,Grimari,CF433,Kobadja,CF4332,1488.541769
 Ndjo,"17.602892,5.70007",Ombella M'Poko,CF11,Bossembélé,CF115,Bossembélé,CF1151,2404.711207
 Ngabongo,"15.164505,4.903163",Mambéré-Kadéi,CF21,Amada-Gaza,CF214,Haute-Boumbé,CF2141,773.552255
 Ngaboua,"16.458485,4.848818",Mambéré-Kadéi,CF21,Gadzi,CF217,Topia,CF2171,2613.792231
 Ngalia,"21.7633,4.610944",Basse-Kotto,CF61,Kembé,CF613,Kembé,CF6131,583.601887
 Ngamongo,"14.909646,5.823615",Nana-Mambéré,CF22,Baboua,CF223,Baboua,CF2231,534.869072
 Ngandio,"15.5426319999999,3.995325",Mambéré-Kadéi,CF21,Sosso-Nakombo,CF215,Basse-Kadéi,CF2151,1265.17032
 Ngapo,"20.9020459999999,4.729721",Basse-Kotto,CF61,Zangba,CF615,Yabongo,CF6152,320.749513
 Ngbaboko,"16.1690119999999,4.660785",Mambéré-Kadéi,CF21,Carnot,CF213,Carnot,CF2131,1070.78125
 Ngbafio 1,"15.4112849999999,5.310668",Nana-Mambéré,CF22,Abba,CF224,Abba,CF2241,270.183515
 Ngbanda,"23.094334,4.829665",Mbomou,CF62,Bangassou,CF621,Zangandou,CF6214,324.576345
 Ngbando 1,"21.7311079999999,4.342946",Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161,822.08903
 Ngbassa 1,"21.5504779999999,4.252227",Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161,443.283301
 Ngonza,"23.9209059999999,4.988969",Mbomou,CF62,Rafai,CF624,Rafai,CF6241,1449.583294
 Ngopama,"18.506022,3.698151",Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,459.640585
 Ngotto,"17.33612,4.033818",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,6205.8423
 Ngoubondo,"21.615862,6.431375",Ouaka,CF43,Ippy,CF435,Yéngou,CF4352,782.775631
 Ngoudongo 1,"19.1315999999999,6.080344",Kémo,CF41,Dékoa,CF412,Guiffa,CF4123,552.857998
 Ngouka,"18.6543439999999,4.831962",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,289.231899
 Ngoumbeti,"18.5042,4.431416",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,5279.421865
 Ngoungou,"16.499203,4.45223",Mambéré-Kadéi,CF21,Carnot,CF213,Senkpa-Mbaéré,CF2132,2297.776972
 Ngourkaba 1,"19.4776619999999,6.135276",Kémo,CF41,Mala,CF413,Mala,CF4131,1188.144685
 Niango 2,"20.1822839999999,7.574745",Bamingui-Bangoran,CF51,Bamingui,CF512,Vassako,CF5121,1698.472556
 Nzako,"22.864256,6.137611",Mbomou,CF62,Bakouma,CF625,Bakouma,CF6251,5214.370088
 Nzembe,"15.4399979999999,3.923608",Mambéré-Kadéi,CF21,Sosso-Nakombo,CF215,Basse-Kadéi,CF2151,405.94456
 Nzerewere,"15.648087,7.016757",Ouham Pendé,CF31,Bocaranga,CF312,Bocaranga,CF3121,4170.690923
 Ouande-Linguiri,"19.9303959999999,6.985596",Nana-Gribizi,CF42,Mbrès,CF422,Mbrés,CF4221,528.735884
 Ouatta,"16.123335,3.982216",Mambéré-Kadéi,CF21,Berbérati,CF211,Basse-Mambéré,CF2114,670.674695
 Ouhi,"20.702,8.401754",Bamingui-Bangoran,CF51,Ndélé,CF511,Dar El Kouti,CF5111,709.016761
 Pate-Mamadou,"15.6156159999999,5.728469",Nana-Mambéré,CF22,Bouar,CF221,Zotoua-Bangarem,CF2214,766.955723
 Poubati,"16.390008,7.168088",Ouham Pendé,CF31,Paoua,CF314,Banh,CF3148,1999.80714
 Poutem,"17.3087899999999,4.041141",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,943.483233
 RafaÂ´,"23.928373,4.970849",Mbomou,CF62,Rafai,CF624,Rafai,CF6241,4670.879503
 Sakara-Foulbe,"15.680558,5.390819",Nana-Mambéré,CF22,Bouar,CF221,Zotoua-Bangarem,CF2214,458.862398
 Sambora,"23.6676779999999,4.956424",Mbomou,CF62,Rafai,CF624,Rafai,CF6241,1865.339738
 Sanda Boguera,"15.456402,5.236147",Nana-Mambéré,CF22,Abba,CF224,Nadziboro,CF2242,306.849421
 Sanyele,"17.229322,4.577997",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,339.084817
 Sosso-Nakombo,"15.496017,3.909855",Mambéré-Kadéi,CF21,Sosso-Nakombo,CF215,Basse-Kadéi,CF2151,4252.378021
 Soumba Boyare,"15.602819,5.063688",Nana-Mambéré,CF22,Abba,CF224,Nadziboro,CF2242,298.774436
 Takamala,"22.4597279999999,10.234144",Vakaga,CF53,Birao,CF531,Ridina,CF5311,494.559341
 Tedoa,"16.4906879999999,5.551529",Nana-Mambéré,CF22,Baoro,CF222,Bawi Tédoa,CF2221,1941.502591
 Tilo,"19.227944,6.297644",Kémo,CF41,Dékoa,CF412,Tilo,CF4122,1230.857632
 Unknown,"15.604322,4.087678",Mambéré-Kadéi,CF21,Sosso-Nakombo,CF215,Basse-Kadéi,CF2151,995.7359
 Unknown 15,"17.0831939999999,4.200098",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,315.699657
 Unknown 29,"15.0684869999999,4.601061",Mambéré-Kadéi,CF21,Gamboula,CF212,Basse-Boumné,CF2121,692.647016
 Unknown 32,"16.6287109999999,4.663985",Mambéré-Kadéi,CF21,Gadzi,CF217,Topia,CF2171,1045.516892
 Unknown 33,"18.390563,4.66518",Ombella M'Poko,CF11,Boali,CF114,Boali,CF1141,6517.534513
 Unknown 34,"18.511949,4.698682",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,262.592119
 Unknown 37,"15.721949,5.027222",Mambéré-Kadéi,CF21,Carnot,CF213,Carnot,CF2131,4053.248595
 Unknown 39,"15.092917,5.1425",Nana-Mambéré,CF22,Abba,CF224,Abba,CF2241,266.080328
 Unknown 50,"14.557016,6.005471",Nana-Mambéré,CF22,Baboua,CF223,Koundé,CF2234,1101.097409
 Unknown 52,"20.829111,6.122344",Ouaka,CF43,Bambari,CF431,Danga-Gboudou,CF4312,705.67005
 Unknown 54,"21.220559,6.145969",Ouaka,CF43,Ippy,CF435,Ippy,CF4351,746.96743
 Unknown 83,"18.687358,7.683694",Ouham,CF32,Kabo,CF327,Sido,CF3271,2094.952657
 Unknown 87,"20.60572,8.368039",Bamingui-Bangoran,CF51,Bamingui,CF512,Vassako,CF5121,724.323605
 Wambilo,"15.530004,3.975056",Mambéré-Kadéi,CF21,Sosso-Nakombo,CF215,Basse-Kadéi,CF2151,1499.46112
 Wandalongo,"19.8918199999999,6.423813",Ouaka,CF43,Bakala,CF432,Koudou-Bégo,CF4321,414.854365
 Yaloke,"17.092409,5.320378",Ombella M'Poko,CF11,Yaloké,CF116,Yaloké,CF1161,10504.45244
 Yangada,"21.943534,4.297398",Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161,878.506905
 Yatigaza,"20.3371439999999,5.450146",Ouaka,CF43,Bambari,CF431,Pladama-Ouaka,CF4314,426.556217
 Yomba,"19.425018,6.181956",Kémo,CF41,Mala,CF413,Mala,CF4131,754.117
 Yoro Gbaya,"15.81811,5.261489",Nana-Mambéré,CF22,Baoro,CF222,Yoro-Samba Bougoulou,CF2222,2800.779002
 Youngofongo 1,"22.983996,4.841015",Mbomou,CF62,Bangassou,CF621,Zangandou,CF6214,980.634914
 Zacka,"17.127126,4.942238",Lobaye,CF12,Boganangone,CF124,Boganangone,CF1241,710.665992
 Zara-Kombo,"15.037367,5.469878",Nana-Mambéré,CF22,Abba,CF224,Abba,CF2241,1234.317078
 Zila,"18.4960659999999,4.308145",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,1222.300932
 Zombere,"16.417864,6.27376",Ouham Pendé,CF31,Bossemtélé,CF316,Binon,CF3161,611.856261
BABALA,"22.2621299999999,4.650412",Mbomou,CF62,Gambo,CF623,Gambo,CF6231,2924.054112
BAKABA,"19.03517,7.106127",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Nana-Outa,CF4213,2413.840476
BALLA,"16.638007,5.678798",Ouham Pendé,CF31,Bossemtélé,CF316,Binon,CF3161,7642.451388
BALOUBA,"20.1717559999999,7.472274",Bamingui-Bangoran,CF51,Bamingui,CF512,Vassako,CF5121,703.517876
BATAYANGA,"15.4510609999999,6.936927",Ouham Pendé,CF31,Koui,CF313,Koui,CF3131,6771.772143
BEBOUZAWE 1,"16.45409,7.368527",Ouham Pendé,CF31,Paoua,CF314,Bah-Bessar,CF3143,2210.893961
BEMAIDE CITY,"16.5023559999999,7.501965",Ouham Pendé,CF31,Paoua,CF314,Bah-Bessar,CF3143,2346.752555
BOBORO,"15.658675,6.940241",Ouham Pendé,CF31,Bocaranga,CF312,Bocaranga,CF3121,1959.204946
BOKONE,"16.384239,6.318983",Ouham Pendé,CF31,Bozoum,CF311,Bozoum,CF3111,24291.03719
BORNOU 2,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,CF5211,28327.14344
BOTOKON,"19.014358,6.944847",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Botto,CF4212,2087.025781
ECOLE MIXTE 1,"15.637078,6.985692",Ouham Pendé,CF31,Bocaranga,CF312,Bocaranga,CF3121,498
GBADOU,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,CF5211,34236.14344
GBANENGUE 2,"16.391576,6.233304",Ouham Pendé,CF31,Bossemtélé,CF316,Binon,CF3161,1364.501107
KAIDOMON,"15.634471,6.997848",Ouham Pendé,CF31,Bocaranga,CF312,Bocaranga,CF3121,480
Kitessa,"25.363332,5.360081",Haut-Mbomou,CF63,Zémio,CF633,Zémio,CF6331,2040.883175
KOUMBOLI,"25.1698519999999,5.065872",Haut-Mbomou,CF63,Zémio,CF633,Zémio,CF6331,2607.555
LA SIM,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,CF5211,28636.14344
LAMORDE,"15.448154,6.937674",Ouham Pendé,CF31,Koui,CF313,Koui,CF3131,1785
MANDE 3,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,CF5211,26529.14344
MBAMBALE,"22.4513579999999,4.375263",Mbomou,CF62,Ouango,CF622,Ouango,CF6221,1201.052952
MBENGOU,"20.153274,7.310695",Bamingui-Bangoran,CF51,Bamingui,CF512,Vassako,CF5121,780.100264
NDOGBA,"22.436094,4.280663",Mbomou,CF62,Ouango,CF622,Ouango,CF6221,2161.374341
NDOMENDE 1,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,CF5211,26678.14344
