OBJECTID,VillageAll,PC_DTM,PC_OCHA,PC_UNK,GPS_Source,Duplicate,DuplicatPC,Relation,DataSource,FB_POP,UrbanRural,POINT_X,POINT_Y,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin3Name,admin3Pcod,idps,hh_idp,ind_idp,abris_pdi_,abris_pdi1,retournes,hh_ret_rca,ind_ret_rc,abris_ret_,abris_ret1,retournes_,hh_ret_oth,ind_ret_ot,abris_reto,abris_re_1,TotalPop
1108, Ndanga, ,31150008, , SIGCAF, ,, , SIGCAF,591.9440405,Rural,16.290299,6.350793,Central African Republic,CF,Ouham Pendé,CF31,Bozoum,CF311,Danayéré,CF3115, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,591.9440405
438, Ndangala, ,11110080, , SIGCAF, ,, , SIGCAF,3448.839719,Rural,18.345382,4.313131,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,3448.839719
2065, Ndawa, ,61220027, , SIGCAF, ,, , SIGCAF,634.9932873,Urban,21.320502,4.922799,Central African Republic,CF,Basse-Kotto,CF61,Alindao,CF612,Guiligui,CF6122, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,634.9932873
2187, Ndaye, ,61610035, , SIGCAF, ,, , SIGCAF,636.7160136,Rural,21.880854,4.303731,Central African Republic,CF,Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,636.7160136
1951, Ndele, ,51110001, , SIGCAF, ,, , SIGCAF,9694.506056,Urban,20.647999,8.411999,Central African Republic,CF,Bamingui-Bangoran,CF51,Ndélé,CF511,Dar El Kouti,CF5111, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,9694.506056
1043, Ndelengue, ,23110036, , SIGCAF, ,, , SIGCAF,4968.992152,Rural,16.246734,3.399567,Central African Republic,CF,Sangha-Mbaéré,CF23,Nola,CF231,Nola,CF2311, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,4968.992152
2238, Ndengue, ,62140032, , SIGCAF, ,, , SIGCAF,497.2233369,Rural,23.01772,4.773366,Central African Republic,CF,Mbomou,CF62,Bangassou,CF621,Zangandou,CF6214, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,497.2233369
2268, Ndengue, ,62220015, , SIGCAF, ,, , SIGCAF,515.8390013,Urban,22.494032,4.168824,Central African Republic,CF,Mbomou,CF62,Ouango,CF622,Ngbandinga,CF6222, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,515.8390013
2188, Ndeou, ,61610037, , SIGCAF, ,, , SIGCAF,459.4026934,Rural,22.059034,4.358464,Central African Republic,CF,Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,459.4026934
439, NderÞ, ,11110081, , SIGCAF, ,, , SIGCAF,2438.863362,Urban,18.452108,4.545475,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,2438.863362
1631, Ndere, ,41220016, , SIGCAF, ,, , SIGCAF,1204.853598,Rural,19.356138,6.25394,Central African Republic,CF,Kémo,CF41,Dékoa,CF412,Tilo,CF4122, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,1204.853598
440, Ndia, ,11110082, , SIGCAF, ,, , SIGCAF,453.3416602,Rural,18.54149,4.292519,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,453.3416602
1756, Ndiba, ,42210029, , SIGCAF, ,, , SIGCAF,1367.663486,Rural,19.68624,6.657368,Central African Republic,CF,Nana-Gribizi,CF42,Mbrès,CF422,Mbrés,CF4221, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,1367.663486
1008, Ndiba 2, ,22410022, , SIGCAF, ,, , SIGCAF,743.1513971,Rural,15.183885,5.47642,Central African Republic,CF,Nana-Mambéré,CF22,Abba,CF224,Abba,CF2241, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,743.1513971
1999, Ndiffa, ,53120023, , SIGCAF, ,, , SIGCAF,363.7832344,Rural,21.722439,9.579054,Central African Republic,CF,Vakaga,CF53,Birao,CF531,Ouandja,CF5312, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,363.7832344
809, Ndijingando, ,21320022, , SIGCAF, ,, , SIGCAF,611.9079979,Rural,16.279475,4.433302,Central African Republic,CF,Mambéré-Kadéï,CF21,Carnot,CF213,Senkpa-Mbaéré,CF2132, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,611.9079979
441, Ndimba, ,11110083, , SIGCAF, ,, , SIGCAF,883.7293123,Rural,18.615078,4.128083,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,883.7293123
1590, Ndimba 1, ,32720027, , SIGCAF, ,, , SIGCAF,386.5792242,Rural,18.45618,7.47513,Central African Republic,CF,Ouham,CF32,Kabo,CF327,Ouaki,CF3272, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,386.5792242
855, Ndinguiri, ,21710036, , SIGCAF, ,, , SIGCAF,6311.824202,Urban,16.336991,4.886027,Central African Republic,CF,Mambéré-Kadéï,CF21,Gadzi,CF217,Topia,CF2171, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,6311.824202
