"","theloopcount","wash_6_volume_recipient","wash_7_frequence_recipient","volume_total_par_recipient","X_index","X_parent_table_name","X_parent_index","X_submission__id","X_submission__uuid","X_submission__submission_time","X_submission__validation_status","MERGED_FROM_FILE"
"64",9,25,1,25,64,"Questionnaire MSNA - HH",8,60241757,"b6dd5aff-1917-4b23-8091-2e98b8ba1b6f","2019-07-01T17:04:31",NA,"loop_bidons_test_OK_0701"
"65",10,25,1,25,65,"Questionnaire MSNA - HH",8,60241757,"b6dd5aff-1917-4b23-8091-2e98b8ba1b6f","2019-07-01T17:04:31",NA,"loop_bidons_test_OK_0701"
"66",1,20,1,20,66,"Questionnaire MSNA - HH",9,60241630,"79b45c4a-c0f5-4566-8b94-40544b9f9d27","2019-07-01T17:02:37",NA,"loop_bidons_test_OK_0701"
"67",2,20,1,20,67,"Questionnaire MSNA - HH",9,60241630,"79b45c4a-c0f5-4566-8b94-40544b9f9d27","2019-07-01T17:02:37",NA,"loop_bidons_test_OK_0701"
"68",3,20,1,20,68,"Questionnaire MSNA - HH",9,60241630,"79b45c4a-c0f5-4566-8b94-40544b9f9d27","2019-07-01T17:02:37",NA,"loop_bidons_test_OK_0701"
"69",4,20,1,20,69,"Questionnaire MSNA - HH",9,60241630,"79b45c4a-c0f5-4566-8b94-40544b9f9d27","2019-07-01T17:02:37",NA,"loop_bidons_test_OK_0701"
"70",5,20,1,20,70,"Questionnaire MSNA - HH",9,60241630,"79b45c4a-c0f5-4566-8b94-40544b9f9d27","2019-07-01T17:02:37",NA,"loop_bidons_test_OK_0701"
"71",6,20,1,20,71,"Questionnaire MSNA - HH",9,60241630,"79b45c4a-c0f5-4566-8b94-40544b9f9d27","2019-07-01T17:02:37",NA,"loop_bidons_test_OK_0701"
"72",7,20,1,20,72,"Questionnaire MSNA - HH",9,60241630,"79b45c4a-c0f5-4566-8b94-40544b9f9d27","2019-07-01T17:02:37",NA,"loop_bidons_test_OK_0701"
"73",8,20,1,20,73,"Questionnaire MSNA - HH",9,60241630,"79b45c4a-c0f5-4566-8b94-40544b9f9d27","2019-07-01T17:02:37",NA,"loop_bidons_test_OK_0701"
"74",9,20,1,20,74,"Questionnaire MSNA - HH",9,60241630,"79b45c4a-c0f5-4566-8b94-40544b9f9d27","2019-07-01T17:02:37",NA,"loop_bidons_test_OK_0701"
"75",10,20,1,20,75,"Questionnaire MSNA - HH",9,60241630,"79b45c4a-c0f5-4566-8b94-40544b9f9d27","2019-07-01T17:02:37",NA,"loop_bidons_test_OK_0701"
"76",1,20,1,20,76,"Questionnaire MSNA - HH",10,60241623,"b6556063-ade4-46bc-9cb5-f204437d6800","2019-07-01T17:02:31",NA,"loop_bidons_test_OK_0701"
"77",2,20,1,20,77,"Questionnaire MSNA - HH",10,60241623,"b6556063-ade4-46bc-9cb5-f204437d6800","2019-07-01T17:02:31",NA,"loop_bidons_test_OK_0701"
"78",3,20,1,20,78,"Questionnaire MSNA - HH",10,60241623,"b6556063-ade4-46bc-9cb5-f204437d6800","2019-07-01T17:02:31",NA,"loop_bidons_test_OK_0701"
"79",4,20,1,20,79,"Questionnaire MSNA - HH",10,60241623,"b6556063-ade4-46bc-9cb5-f204437d6800","2019-07-01T17:02:31",NA,"loop_bidons_test_OK_0701"
"80",5,20,1,20,80,"Questionnaire MSNA - HH",10,60241623,"b6556063-ade4-46bc-9cb5-f204437d6800","2019-07-01T17:02:31",NA,"loop_bidons_test_OK_0701"
"81",6,20,1,20,81,"Questionnaire MSNA - HH",10,60241623,"b6556063-ade4-46bc-9cb5-f204437d6800","2019-07-01T17:02:31",NA,"loop_bidons_test_OK_0701"
"82",7,20,1,20,82,"Questionnaire MSNA - HH",10,60241623,"b6556063-ade4-46bc-9cb5-f204437d6800","2019-07-01T17:02:31",NA,"loop_bidons_test_OK_0701"
"83",8,20,1,20,83,"Questionnaire MSNA - HH",10,60241623,"b6556063-ade4-46bc-9cb5-f204437d6800","2019-07-01T17:02:31",NA,"loop_bidons_test_OK_0701"
"84",1,20,1,20,84,"Questionnaire MSNA - HH",11,60241378,"efebd55d-951a-43a5-9509-bb671336665c","2019-07-01T17:00:33",NA,"loop_bidons_test_OK_0701"
"85",2,20,1,20,85,"Questionnaire MSNA - HH",11,60241378,"efebd55d-951a-43a5-9509-bb671336665c","2019-07-01T17:00:33",NA,"loop_bidons_test_OK_0701"
"86",3,20,1,20,86,"Questionnaire MSNA - HH",11,60241378,"efebd55d-951a-43a5-9509-bb671336665c","2019-07-01T17:00:33",NA,"loop_bidons_test_OK_0701"
"87",4,20,1,20,87,"Questionnaire MSNA - HH",11,60241378,"efebd55d-951a-43a5-9509-bb671336665c","2019-07-01T17:00:33",NA,"loop_bidons_test_OK_0701"
