"","dependent.var","dependent.var.value","independent.var","independent.var.value","repeat.var","repeat.var.value","numbers"
"162","wash_21_wash_inquiet_3","environment","ig_8_statut_groupe","retournes","admin_0","RCA",0.21
"163","wash_21_wash_inquiet_3","environment","ig_8_statut_groupe","hote","admin_0","RCA",0.201
"164","wash_21_wash_inquiet_3","environment","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.224
"165","wash_21_wash_inquiet_3","environment","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.208
"166","educ_5_ecole_acces_1","financier","sexe_chef_menage","homme","admin_0","RCA",0.222
"167","educ_5_ecole_acces_1","financier","sexe_chef_menage","femme","admin_0","RCA",0.235
"168","wash_22_wash_reponse_1","cash_recipient_eau","sexe_chef_menage","homme","admin_0","RCA",0.195
"169","wash_22_wash_reponse_1","cash_recipient_eau","sexe_chef_menage","femme","admin_0","RCA",0.201
"170","mssc_2_source_rev_1","agric","sexe_chef_menage","homme","admin_0","RCA",0.275
"171","mssc_2_source_rev_1","agric","sexe_chef_menage","femme","admin_0","RCA",0.298
"172","wash_9_insuff_raisons_1","manque_recip","sexe_chef_menage","homme","admin_0","RCA",0.242
"173","wash_9_insuff_raisons_1","manque_recip","sexe_chef_menage","femme","admin_0","RCA",0.25
"174","nfi_7_assistance_1","argent_nfi_essentiels","sexe_chef_menage","homme","admin_0","RCA",0.18
"175","nfi_7_assistance_1","argent_materiel","sexe_chef_menage","femme","admin_0","RCA",0.185
"176","educ_6_reponse_1","cash_frais","sexe_chef_menage","homme","admin_0","RCA",0.209
"177","educ_6_reponse_1","cash_frais","sexe_chef_menage","femme","admin_0","RCA",0.206
"178","rep_souhaitee_1","secal","sexe_chef_menage","homme","admin_0","RCA",0.261
"179","rep_souhaitee_1","secal","sexe_chef_menage","femme","admin_0","RCA",0.266
"180","secal_13_reponse_1","cash_nourrit","sexe_chef_menage","homme","admin_0","RCA",0.212
"181","secal_13_reponse_1","cash_nourrit","sexe_chef_menage","femme","admin_0","RCA",0.23
"182","sante_7_reponse_1","prov_medicament","sexe_chef_menage","homme","admin_0","RCA",0.196
"183","sante_7_reponse_1","prov_medicament","sexe_chef_menage","femme","admin_0","RCA",0.205
"184","wash_15_insuff_raisons_1","quantite_insuff","sexe_chef_menage","homme","admin_0","RCA",0.248
"185","wash_15_insuff_raisons_1","quantite_insuff","sexe_chef_menage","femme","admin_0","RCA",0.249
"186","wash_21_wash_inquiet_1","eau","sexe_chef_menage","homme","admin_0","RCA",0.344
"187","wash_21_wash_inquiet_1","eau","sexe_chef_menage","femme","admin_0","RCA",0.34
"188","educ_5_ecole_acces_2","autre","sexe_chef_menage","homme","admin_0","RCA",0.129
"189","educ_5_ecole_acces_2","autre","sexe_chef_menage","femme","admin_0","RCA",0.118
"190","wash_22_wash_reponse_2","cash_infra","sexe_chef_menage","homme","admin_0","RCA",0.162
"191","wash_22_wash_reponse_2","cash_infra","sexe_chef_menage","femme","admin_0","RCA",0.158
"192","mssc_2_source_rev_2","petit_commerce","sexe_chef_menage","homme","admin_0","RCA",0.194
"193","mssc_2_source_rev_2","petit_commerce","sexe_chef_menage","femme","admin_0","RCA",0.255
"194","wash_9_insuff_raisons_2","attente_longue","sexe_chef_menage","homme","admin_0","RCA",0.17
"195","wash_9_insuff_raisons_2","attente_longue","sexe_chef_menage","femme","admin_0","RCA",0.175
"196","nfi_7_assistance_2","argent_materiel","sexe_chef_menage","homme","admin_0","RCA",0.16
"197","nfi_7_assistance_2","argent_nfi_essentiels","sexe_chef_menage","femme","admin_0","RCA",0.147
"198","educ_6_reponse_2","cash_fournitures","sexe_chef_menage","homme","admin_0","RCA",0.184
"199","educ_6_reponse_2","prov_fournitures","sexe_chef_menage","femme","admin_0","RCA",0.176
"200","rep_souhaitee_2","wash","sexe_chef_menage","homme","admin_0","RCA",0.227
"201","rep_souhaitee_2","wash","sexe_chef_menage","femme","admin_0","RCA",0.222
"202","secal_13_reponse_2","cash_intrant_agri","sexe_chef_menage","homme","admin_0","RCA",0.189
"203","secal_13_reponse_2","cash_intrant_agri","sexe_chef_menage","femme","admin_0","RCA",0.177
"204","sante_7_reponse_2","cash_frais_med","sexe_chef_menage","homme","admin_0","RCA",0.168
"205","sante_7_reponse_2","cash_frais_med","sexe_chef_menage","femme","admin_0","RCA",0.167
"206","wash_15_insuff_raisons_2","hygiene_insuff","sexe_chef_menage","homme","admin_0","RCA",0.232
"207","wash_15_insuff_raisons_2","hygiene_insuff","sexe_chef_menage","femme","admin_0","RCA",0.215
"208","wash_21_wash_inquiet_2","sanitaire","sexe_chef_menage","homme","admin_0","RCA",0.23
"209","wash_21_wash_inquiet_2","sanitaire","sexe_chef_menage","femme","admin_0","RCA",0.228
"210","educ_5_ecole_acces_3","aucune","sexe_chef_menage","homme","admin_0","RCA",0.126
"211","educ_5_ecole_acces_3","aucune","sexe_chef_menage","femme","admin_0","RCA",0.112
"212","wash_22_wash_reponse_3","cash_hygiene","sexe_chef_menage","homme","admin_0","RCA",0.148
