"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"141","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_mssc","deplaces_site",0.32492951471499,NA,NA,NA,"admin_0","RCA"
"15","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_ah","deplaces_FA",0.176253312556873,NA,NA,NA,"admin_0","RCA"
"16","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_ah","deplaces_site",0.171694965499051,NA,NA,NA,"admin_0","RCA"
"17","ig_14_idp_cond_retour","ig_8_statut_groupe","autre","deplaces_FA",0.0413876811805518,NA,NA,NA,"admin_0","RCA"
"18","ig_14_idp_cond_retour","ig_8_statut_groupe","autre","deplaces_site",0.018539876919242,NA,NA,NA,"admin_0","RCA"
"19","ig_14_idp_cond_retour","ig_8_statut_groupe","nsp","deplaces_FA",0.0187703565883072,NA,NA,NA,"admin_0","RCA"
"20","ig_14_idp_cond_retour","ig_8_statut_groupe","nsp","deplaces_site",0.00189633635591786,NA,NA,NA,"admin_0","RCA"
"130","ig_16_ret_rapat_dest_finale_oui_non","ig_8_statut_groupe","abri_origine","retournes",0.701770206296341,NA,NA,NA,"admin_0","RCA"
"214","ig_16_ret_rapat_dest_finale_oui_non","ig_8_statut_groupe","autre","retournes",0.0370935156480508,NA,NA,NA,"admin_0","RCA"
"314","ig_16_ret_rapat_dest_finale_oui_non","ig_8_statut_groupe","commune_origine","retournes",0.261136278055608,NA,NA,NA,"admin_0","RCA"
"132","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","abri_detruit","retournes",0.716315453497161,NA,NA,NA,"admin_0","RCA"
"215","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","abri_occupe_etat","retournes",0.0652460301432957,NA,NA,NA,"admin_0","RCA"
"315","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","abri_occupe_tiers","retournes",0.156845848027765,NA,NA,NA,"admin_0","RCA"
"414","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","abri_tropcher","retournes",0.0080960688848412,NA,NA,NA,"admin_0","RCA"
"514","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","autre","retournes",0.012307861838794,NA,NA,NA,"admin_0","RCA"
"614","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","insecurite","retournes",0.0125409735923443,NA,NA,NA,"admin_0","RCA"
"714","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","nsp","retournes",0.00829184943619827,NA,NA,NA,"admin_0","RCA"
"814","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","perte_doc","retournes",0.00923427318127925,NA,NA,NA,"admin_0","RCA"
"912","ig_16_ret_rapat_abri_origine_non_raison","ig_8_statut_groupe","perte_du_proprietaire","retournes",0.0111216413983219,NA,NA,NA,"admin_0","RCA"
"133","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","abri_detruit","retournes",0.351092048316915,NA,NA,NA,"admin_0","RCA"
"216","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","abri_occupe_tiers","retournes",0.0124130315952753,NA,NA,NA,"admin_0","RCA"
"316","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","abri_tropcher","retournes",0.0486680039993676,NA,NA,NA,"admin_0","RCA"
"415","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","autre","retournes",0.00224971878515186,NA,NA,NA,"admin_0","RCA"
"515","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","insecurite","retournes",0.562838797995373,NA,NA,NA,"admin_0","RCA"
"615","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","nsp","retournes",0.00386152903164396,NA,NA,NA,"admin_0","RCA"
"715","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","perte_doc","retournes",0.00224971878515186,NA,NA,NA,"admin_0","RCA"
"815","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","perte_du_proprietaire","retournes",0.0166271514911217,NA,NA,NA,"admin_0","RCA"
"134","ig_15_rtr_ret_rapat","ig_8_statut_groupe","autre","retournes",0.00652578271152144,NA,NA,NA,"admin_0","RCA"
"217","ig_15_rtr_ret_rapat","ig_8_statut_groupe","fermeture_site","retournes",0.00208865366700243,NA,NA,NA,"admin_0","RCA"
"317","ig_15_rtr_ret_rapat","ig_8_statut_groupe","meilleure_assist_human","retournes",0.148278517314266,NA,NA,NA,"admin_0","RCA"
"416","ig_15_rtr_ret_rapat","ig_8_statut_groupe","meilleure_qualite_vie","retournes",0.118194480611604,NA,NA,NA,"admin_0","RCA"
"516","ig_15_rtr_ret_rapat","ig_8_statut_groupe","meilleures_secu","retournes",0.0814947970345706,NA,NA,NA,"admin_0","RCA"
"616","ig_15_rtr_ret_rapat","ig_8_statut_groupe","moins_assist_human","retournes",0.0424617553801125,NA,NA,NA,"admin_0","RCA"
"716","ig_15_rtr_ret_rapat","ig_8_statut_groupe","moins_qualite_vie","retournes",0.0954839268468311,NA,NA,NA,"admin_0","RCA"
"816","ig_15_rtr_ret_rapat","ig_8_statut_groupe","moins_secu","retournes",0.0148665408528,NA,NA,NA,"admin_0","RCA"
"913","ig_15_rtr_ret_rapat","ig_8_statut_groupe","nsp","retournes",0.00487521687076405,NA,NA,NA,"admin_0","RCA"
"1012","ig_15_rtr_ret_rapat","ig_8_statut_groupe","raison_eco","retournes",0.0418420790643773,NA,NA,NA,"admin_0","RCA"
"1112","ig_15_rtr_ret_rapat","ig_8_statut_groupe","regroup_fam","retournes",0.432911699787147,NA,NA,NA,"admin_0","RCA"
